trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.2, 'e': 0.2494491979384908}",20,0,-87.05997137582987,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
156,False,"{'a': 0.2, 'e': 0.24696713694786612}",20,13,2.8345984451953874,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.2461042628790195}",20,5,-3.3940855578039972,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.24426538531801115}",25,8,21.46472807432265,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.2421979286813109}",20,0,32.640112736667795,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.2397880190253247}",25,6,-13.03410230582737,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.23752081909545814}",25,0,-55.178881468246566,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
162,False,"{'a': 0.2, 'e': 0.23457028809379765}",25,14,-13.217304122176149,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
163,False,"{'a': 0.2, 'e': 0.23328369288938433}",25,7,-63.61079179259546,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
164,False,"{'a': 0.2, 'e': 0.2311935593626325}",25,10,2.053030669413773,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.22946609376090668}",20,12,13.564152688406487,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.2285500626694205}",20,12,16.872578425308426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.22763768838381274}",25,8,-6.58938617619553,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.22571096819380504}",20,10,11.925376515732843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.2245852300434986}",20,16,7.462387405247082,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.2241365084545744}",20,11,4.6481463062722685,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.22313016014842982}",25,11,18.337228523090385,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.22157370298299803}",25,0,-22.67273726109012,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
173,False,"{'a': 0.2, 'e': 0.21882127023923378}",20,2,9.208102108490603,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.2168607145414538}",20,9,19.53269712891299,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.21567125462467565}",30,6,-55.66268340859391,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
176,False,"{'a': 0.2, 'e': 0.21309866597208482}",25,15,13.896651617510539,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.2120358319415374}",25,9,19.998921737618662,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.21034631237503254}",20,14,0.28480627753959675,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.2097162190504642}",20,0,32.25780193247834,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.2, 'e': 0.2076295078054162}",25,5,22.35908073925378,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.2055635596841739}",20,4,22.76317420321856,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.20392561173421342}",25,14,8.972068783640342,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.2028070995976321}",25,13,-51.15133210255595,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
184,False,"{'a': 0.2, 'e': 0.20159390023772197}",25,0,-66.91131090676764,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
185,False,"{'a': 0.2, 'e': 0.1990896605897524}",20,0,7.663449627812396,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
186,False,"{'a': 0.2, 'e': 0.19710868536806264}",25,18,11.987429248275745,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.2, 'e': 0.1964200108526981}",20,15,-4.873076915979528,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.2, 'e': 0.19592957412690934}",25,6,10.893318405110335,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.2, 'e': 0.1940770565635844}",20,3,28.949771421056536,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.2, 'e': 0.19243439279400748}",20,8,19.514951131149356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.2, 'e': 0.19128324333905458}",30,12,19.027435340496023,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.2, 'e': 0.18956941793164234}",20,2,-16.90926419963423,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
193,False,"{'a': 0.2, 'e': 0.18787094775072993}",20,9,20.399817831535323,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.2, 'e': 0.186840493883836}",20,0,17.30598196226878,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
195,False,"{'a': 0.2, 'e': 0.18498139990730428}",20,12,12.576743922858064,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.2, 'e': 0.18424295218771095}",25,10,23.571776439609486,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.2, 'e': 0.18286629894900427}",20,3,22.506560709145077,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.2, 'e': 0.181318522775566}",20,11,1.7441070586109733,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.2, 'e': 0.18050442252243923}",20,13,1.7778311564837215,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.2, 'e': 0.17987376134447194}",20,9,-6.011265983338442,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
201,False,"{'a': 0.2, 'e': 0.17888717126681877}",25,0,13.384005564537357,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
202,False,"{'a': 0.2, 'e': 0.17666499913625716}",20,0,5.614272665417021,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
203,False,"{'a': 0.2, 'e': 0.1749071530241483}",25,18,12.3671344650045,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.2, 'e': 0.17429604804611157}",20,16,5.64879108743413,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.2, 'e': 0.17394780430983683}",20,13,-12.256099940843972,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
206,False,"{'a': 0.2, 'e': 0.1733400511831387}",25,7,17.18837547814782,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.2, 'e': 0.1717869899810488}",25,13,15.672482083146223,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
